text,label,notes
WHAT A GOAL. I cannot believe what I just watched. Absolute scenes,reaction,
We actually did it. After everything this season. I'm literally shaking right now,reaction,
HE SCORES AGAIN. This man is unreal. Get in there!!!,reaction,
I can't watch. Someone tell me when it's over.,reaction,
That referee decision is an absolute joke. How is that not a red card???,reaction,
YESSSSS. CHAMPIONS. I'm crying actual tears right now.,reaction,
No way that's offside. No way. VAR is a disaster.,reaction,
I turned off the game at 2-0. Never again.,reaction,
That penalty was never in a million years. Robbery.,reaction,
Half time and I need a drink. This is too stressful.,reaction,
What just happened. What. Just. Happened.,reaction,
That substitution makes zero sense. Manager has lost the plot.,reaction,Sounds like opinion on manager quality but it's tied to a specific in-game moment. reaction — emotional response to a single event not a general claim.
We're getting destroyed out there lads. Embarrassing.,reaction,
Clean sheet! Get in! Defense has been unreal today.,reaction,
He missed an open goal. An open goal. I give up.,reaction,
FULL TIME. WE DID IT. UNBELIEVABLE SCENES.,reaction,
That's it. I'm done with this club. See you next week.,reaction,Contains hyperbole but is clearly a match-moment emotional reaction. reaction — not a general claim about the club.
Oh my god that save. How did he get to that?!,reaction,
2-0 down at home. This is genuinely embarrassing.,reaction,
Three points! Finally! What a relief.,reaction,
I'm not even mad. That was a beautiful goal. Fair play.,reaction,
This team is going to give me a heart attack.,reaction,
That's handball. That's absolutely handball. I don't care what VAR says.,reaction,
Stunning free kick. Even I can appreciate that as a neutral.,reaction,
My heart cannot take this. Extra time again.,reaction,
We threw that away. Absolute shambles in the last ten minutes.,reaction,
HE SCORED FROM THAT DISTANCE?! You're having a laugh.,reaction,
There's no coming back from this. Season over.,reaction,
Draw at home to bottom of the table. Unacceptable.,reaction,
GOAL! GOAL! GOAL! I don't care how it went in!,reaction,
Goalkeeper had no chance with that one. Absolute rocket.,reaction,
Late winner! I've lost my voice completely.,reaction,
Own goal to lose the match. Football is cruel.,reaction,
I just got up at 3am to watch this. Was it worth it? Absolutely not. We were terrible.,reaction,
The atmosphere in that stadium looks incredible. Must be something else to be there.,reaction,
Three assists in one game. I am absolutely watching a generational talent right now.,reaction,
That's us out of the title race. Can't drop points at home like that.,reaction,
Not one shot on target in 90 minutes. Zero. What are we doing.,reaction,
Injury to our best player. Of course. Of course this happens.,reaction,
That comeback from 3-0 down. Football is the best sport in the world.,reaction,
Booked for celebrating. I genuinely hate modern football sometimes.,reaction,
Four games unbeaten and I'm starting to believe. Don't make me regret this.,reaction,
He hasn't scored in 8 games. 8. The drought is real.,reaction,
That offside was millimeters. MILLIMETERS. And it's given against us.,reaction,
Cup final next week and I cannot sleep. Genuinely cannot sleep.,reaction,
I've watched this goal back 12 times. Still gets me.,reaction,
Worst performance of the season and that's saying something.,reaction,
Just seen the injury news. Season ruined.,reaction,
Full time whistle and I'm already on a high. Best feeling in football.,reaction,
Two yellows in ten minutes. We're playing with 10 men for an hour. Great.,reaction,
That's the cleanest hat-trick I've seen in years. Stunning.,reaction,
Baffling team selection today. Absolutely baffling.,reaction,Reacting to today's specific lineup announcement. reaction — tied to a specific event not a general opinion.
Last minute winner away from home. The scenes!!! Unreal.,reaction,
Corner after corner and we can't score. Absolutely dire.,reaction,
I'm a neutral and even I'm buzzing after that goal.,reaction,
OMG he just nutmegged the keeper. The audacity!!!,reaction,
Nil nil at half time and I've already checked the score of the other game. Not good.,reaction,
That header was absolutely gorgeous. Pure technique.,reaction,
I genuinely cannot understand that red card decision. What did he even do.,reaction,
Five in a row. We are absolutely flying right now.,reaction,
The manager just got sacked. Honestly? Can't say I'm surprised.,reaction,
Debut goal! On his debut! What a moment for the kid.,reaction,
We were ROBBED. Completely and utterly robbed today.,reaction,
Stoppage time winner from the corner. Football is the greatest sport.,reaction,
The crowd noise through my TV speakers gave me goosebumps.,reaction,
Playing 90 minutes on that pitch in that heat is criminal. Players look exhausted.,reaction,
I knew we'd concede from that free kick. Knew it.,reaction,
Transfer confirmed. Finally. Only took all window.,reaction,
Haaland scores from everywhere. Tap-ins. Headers. Volleys. He doesn't care how it goes in.,reaction,
Red card and we still managed to hold on. Absolute warriors.,reaction,
That's the worst corner routine I have ever witnessed in professional football.,reaction,
Keeper pulled off five massive saves tonight. We don't deserve him.,reaction,
Conceded in the 94th minute. I need to lie down.,reaction,
Hat trick for the captain on derby day. I will never forget this.,reaction,
Penalty saved! PENALTY SAVED! THE KEEPER IS A GOD.,reaction,
Mbappe is already better than prime Ronaldo. The guy is 25 and has done everything. People need to stop coping.,hot_take,
The Premier League is the most overrated league in the world. Tactically it's a joke compared to Serie A.,hot_take,
Messi is the greatest of all time and the debate is over. There is no debate.,hot_take,
English clubs will never consistently dominate the Champions League. They just don't have the mentality.,hot_take,
Haaland only scores because of the team around him. Put him at any mid-table side and he's average.,hot_take,
"VAR has completely ruined football. It was better before, full stop.",hot_take,
Neymar is the most talented player of his generation. Better technical ability than anyone alive.,hot_take,
Pep Guardiola is overrated. He's never won it without a generational squad.,hot_take,
Germany will never be a top nation again. The rebuild is a myth.,hot_take,
Modern wingers are ruining football. Everyone just cuts inside now. Boring.,hot_take,
Ronaldo is finished. Has been for two years. People just can't accept it.,hot_take,
Barcelona will not be relevant in Europe for another decade at least.,hot_take,
The World Cup should be held every two years. More football is always better.,hot_take,
Bellingham is massively overrated. The hype around him has been embarrassing.,hot_take,
Defending is a lost art in modern football. Nobody knows how to defend anymore.,hot_take,
Liverpool under Slot will be better than under Klopp. Change my mind.,hot_take,
African football is catching up to Europe faster than anyone admits. Next 20 years will be huge.,hot_take,
Goalkeepers are the most undervalued players in football by a mile.,hot_take,
The MLS is genuinely a good league now. People who dismiss it haven't watched it.,hot_take,
Penalty shootouts are a terrible way to end a football match. Glorified lottery.,hot_take,
Rashford will never reach his potential. The mentality just isn't there.,hot_take,
Women's football is growing faster than any other sport right now. The trajectory is remarkable.,hot_take,
Referees at the top level are getting worse every single season.,hot_take,
Xavi was a terrible manager for Barcelona. The tactics were outdated from day one.,hot_take,
The best striker in the world right now isn't Haaland or Mbappe. It's Osimhen.,hot_take,
International football is irrelevant. Club football is where the real quality is.,hot_take,
Three points for a win was the worst rule change in football history. It killed draw culture.,hot_take,
Kylian Mbappe is the greatest player Real Madrid have ever signed.,hot_take,
The 4-3-3 is a dead formation. Every elite team has moved past it.,hot_take,
Most pundits on TV have never played the game properly and it shows every single week.,hot_take,
Mbappe to Real Madrid was the worst thing that could have happened to his career. He's been invisible.,hot_take,
Brazil will never win a World Cup again. That era is over.,hot_take,
Klopp was overrated. His system was the reason for the success not him personally.,hot_take,
The offside rule should be abolished entirely. Just let them play.,hot_take,
Salah is a one-trick pony. Defenders have figured him out.,hot_take,
French football produces more talent than any other country. It's not even close.,hot_take,
Football managers matter far less than people think. The squad determines 80% of results.,hot_take,The 80% figure sounds statistical but is invented opinion. hot_take — no source or verifiable data behind the number.
De Bruyne is the best player in Premier League history.,hot_take,
The Champions League group stage is a complete waste of time and should be scrapped.,hot_take,
Drogba was a better striker than Torres ever was at his peak.,hot_take,
Tactical fouling should be a straight red card every time. No exceptions.,hot_take,
Lamine Yamal will be the best player in the world within 3 years.,hot_take,
Bundesliga is the best league to watch for pure football. No argument.,hot_take,
Argentina only won in 2022 because Messi finally had a defense. Without Scaloni they lose in the quarters.,hot_take,References a real tactical truth but doesn't cite any data. hot_take — the claim is asserted not argued.
Modern goalkeepers can't actually save penalties. It's just a lottery of guessing right.,hot_take,
Jose Mourinho's time as an elite manager is long over and it has been since 2013.,hot_take,
The academy system in England is broken. We produce athletes not footballers.,hot_take,
Erling Haaland will break every single goalscoring record in football history.,hot_take,Future prediction stated as fact with no evidence. hot_take — bold assertion with zero supporting structure.
You can't win the Champions League with a defensive manager. Attacking football always wins in the end.,hot_take,
Passing statistics are meaningless. What matters is what you do in the final third.,hot_take,
The best young players in the world are coming from West Africa right now.,hot_take,
USMNT will reach the World Cup semi-finals in 2026 on home soil.,hot_take,
Serie A has the best tactical coaching in the world and it's not discussed enough.,hot_take,
The modern game has become too focused on fitness. Technical quality is declining.,hot_take,
Zidane was a better manager than Guardiola. Three UCL titles back to back proves it.,hot_take,Cites trophy count as evidence but stat is decorative — claim still stands without it. hot_take decision rule: remove evidence and claim is unchanged.
Most football transfers are driven by agent commissions not genuine sporting need.,hot_take,
Sunday League players work harder than most Championship players.,hot_take,
Kylian Mbappe is faster than any player in the history of the sport.,hot_take,
Football boots don't matter and anyone who spends over £100 on them is being marketed to.,hot_take,
The 6-yard box should be extended. Goalkeepers don't have enough protection.,hot_take,
Pochettino will never win a major trophy. That's just who he is as a manager.,hot_take,
The best football played in the last 20 years was Barcelona 2009 to 2011. Nothing else comes close.,hot_take,
Modern strikers are lazy. They don't press or track back like forwards used to.,hot_take,
Trent Alexander-Arnold would not get into the Real Madrid starting eleven.,hot_take,
The Premier League title race is decided by injuries not quality.,hot_take,
Messi in MLS has made the league look better but the league hasn't made him better.,hot_take,
Spain winning everything is boring for football. Dominance kills the sport.,hot_take,
The best ever World Cup was Italia 90 and nobody can convince me otherwise.,hot_take,
Kane going to Bayern was the worst transfer decision of the last decade.,hot_take,
Ronaldo at Al Nassr proves the Saudi league is just a retirement home. Nothing more.,hot_take,
Rodri's absence from City last season proves he was their single most important player — their PPDA dropped from 9.8 to 14.2 without him and they lost 7 of 11 league games.,analysis,
The reason Spain dominates possession-based football comes down to their youth academies drilling rondos from age 8 — by the time players reach senior level the 1-2 touch rhythm is completely automatic.,analysis,
Pressing works on a fatigue curve. Teams like Liverpool under Klopp averaged 65% pressing intensity in the first 60 minutes but that dropped to under 45% after the 75th minute — which is why their goals conceded late skewed much higher.,analysis,
"Expected goals (xG) data shows Haaland underperformed his xG by only 0.3 over 35 games, meaning his conversion rate is almost perfectly calibrated to chance quality — he's not just clinical, he's also getting into exactly the right positions.",analysis,
The back three isn't inherently defensive — Ancelotti ran a 3-4-3 at the 2022 UCL winning Real Madrid that pressed higher than any back four team in the competition that year. Formation shape tells you almost nothing about tactical intent.,analysis,
Inter's scudetto win was built on the lowest xGA in Serie A (0.78 per game). Lautaro had a great year but the real story was Inzaghi's defensive compactness — they allowed fewer shots on target than any team in Europe's top 5 leagues.,analysis,
What people miss about Busquets is his role as a positional anchor rather than a ball-winner. His tackle numbers were always low because his positioning meant he rarely needed to tackle — he cut off passing lanes before the ball arrived.,analysis,
The reason Chelsea's massive spending hasn't translated to trophies is structural: they signed players to individual contracts without building positional coherence. You can't just spend £1bn and expect a tactical identity to emerge.,analysis,
Van Dijk's importance to Liverpool is measurable — without him in 2020-21 their goals conceded rate doubled from 0.89 to 1.78 per game and they finished 8th. That's one player accounting for roughly a 0.9 GA difference per match.,analysis,
Tiki-taka failed at the 2014 World Cup not because teams solved it tactically but because Spain's squad had aged by 4 years since 2010 and their pressing intensity — which actually recovered the ball for their possession sequences — had dropped significantly.,analysis,
"The xG model actually undersells Messi because it doesn't account for shot location nuance — Messi scores from positions that other players attempt far less often, so his conversion rate looks normal against xG but is actually elite given where he takes shots from.",analysis,
High defensive lines work in the Premier League because pitch sizes at most grounds are 105x68 minimum — that's the full UEFA standard. Smaller pitches in lower divisions are why pressing doesn't transfer as easily between tiers.,analysis,
Germany's 2014 World Cup win was a direct product of their 2000 structural reform — they built 366 regional academies and centralized coaching methodology after the Euro 2000 group stage exit. The 2014 squad had all come through that pipeline.,analysis,
The reason counter-pressing works better than deep defending against possession teams is transition time — if you win the ball back within 6 seconds the opponent's shape is still disorganized. Deep blocks let them reset and you lose that window.,analysis,
Cancelo's drop into midfield from fullback under Pep wasn't improvisation — it was a deliberate structural decision to create a 3-2 shape in buildup that allowed both wingers to stay high and the 8s to push beyond the ball.,analysis,
"Looking at the last 5 Champions League finals, the team with higher average ball progression speed won 4 out of 5 times. It's not possession percentage that matters — it's how quickly you move through lines.",analysis,
"The Moneyball approach works in football but only for specific clubs — Brentford's use of xA and progressive pass data to find value is the clearest example, with at least 3 signings outperforming fee by 300%+.",analysis,
"Argentina's 2022 World Cup win broke the South American curse primarily because they had a genuine defensive structure — Scaloni's 4-4-2 mid-block was the most disciplined in the tournament, conceding only 5 goals in 7 games.",analysis,
"What makes De Bruyne so difficult to defend is his release timing — he passes on average 0.3 seconds earlier than other elite midfielders, meaning defenders can't adjust their shape in time to block passing lanes.",analysis,
The 4-2-3-1 dominated European football from 2005 to 2015 because it solved the specific problem of that era: how to press effectively while maintaining width. Once teams played wider 4-3-3s with narrow 9s it became easy to exploit the spaces behind the wide 10.,analysis,
Fullbacks are now the most important positional group in elite football — Trent Alexander-Arnold averaged more key passes than any midfielder in the PL last season. The role has become an attacking midfielder with defensive responsibilities.,analysis,
The reason African nations underperform at World Cups relative to club-level quality is preparation time — European clubs release players late and they often arrive having had 3-4 days of full squad training vs. 3 weeks for European nations.,analysis,
City's high defensive line only works because Ederson sweeps so aggressively — he allows them to push 10-15 yards higher than any other team. Without his range they'd concede 30% more goals from balls over the top.,analysis,
The real reason Leicester won the 2016 title wasn't pace on the counter — it was Kante's ball recoveries combined with Vardy's run channels that punished the high defensive lines every other top 6 team ran that year.,analysis,
Saka's xA numbers (0.28 per 90) put him in the top 2% of all wingers in Europe's top 5 leagues. His shot assist locations are mostly from tight angles meaning he's creating high-quality chances from low-probability positions.,analysis,
"The reason Brazilian football declined from its 1990s peak is the export pipeline — their best players leave at 17-19 for Europe, meaning the national team never develops cohesion. Spain keeps players in La Liga longer which builds genuine club-national team overlap.",analysis,
Klopp's gegenpressing required a minimum of 3 players within pressing range at all times. When Liverpool's squad depth dropped in 2020-21 they couldn't maintain the press density and the whole system broke.,analysis,
The data on headers shows they are genuinely the lowest xG shot type — roughly 0.08 xG per header vs 0.11 for shots. Yet teams still train heading extensively. There's a real gap between coaching tradition and what the data says.,analysis,
"Real Madrid's UCL success comes down to experience in knockout football — their squad averaged more UCL knockout appearances per player than any opponent they faced in finals. Tournament experience compounds, and Madrid have more of it than anyone.",analysis,
Pressing stats show that teams with PPDA under 8 win the pressing battle in 73% of matches but only convert that into a win 58% of the time — meaning winning the press doesn't guarantee winning the game.,analysis,
"Lamine Yamal at 16 had better progressive carry numbers per 90 than Messi at the same age according to La Liga data — the difference being Messi had higher shot volume, but Yamal's chance creation already exceeds all comparisons.",analysis,
The reason Slot's Liverpool looks different from Klopp's isn't the formation — both use 4-3-3 — it's the defensive trigger. Klopp pressed on the goalkeeper's touch; Slot's team waits for the center back to receive before triggering.,analysis,
"Saudi Pro League's impact on transfer market inflation is measurable: average PL striker fees rose 23% in the two windows following the Neymar and Benzema moves, as clubs recalibrated what market value meant.",analysis,
"Goalkeepers who play out from the back have statistically lower save percentages (0.68 vs 0.74) but their teams give away 18% fewer corners — the risk-reward is about reducing set piece exposure, not the keeper's individual save rate.",analysis,
Ancelotti wins trophies everywhere because his team structure adapts to the best players available — at Madrid he identified that Bellingham's best position was a free 8 with license to arrive late and built the entire midfield around that.,analysis,
Data from the last three World Cups shows that teams pressing above 15 press actions per 90 in the group stage fatigue in the knockouts — France 2018 and Argentina 2022 both dropped their press intensity by 30%+ in the QFs and SFs.,analysis,
"Arsenal's title challenges have consistently collapsed in the final 10 games — in both 2022-23 and 2023-24 their xG dropped by 0.4 per game in April compared to their season average, suggesting fatigue or fixture congestion rather than a mentality issue.",analysis,
"The reason full-backs have become so central to modern attacking play is pressing compactness — when you press high with wingers the only players with genuine width are the fullbacks. The system creates the role, not the other way around.",analysis,
"Studying Rodri's passing maps vs other defensive midfielders shows he operates 8-12 yards further forward on average, which lets him receive between the lines. That's closer to a positional midfielder than a traditional DM.",analysis,
"The biggest tactical shift in European football in the last decade is the death of the traditional number 10. In 2012 every top 5 league had at least 14 teams playing with a natural 10; by 2024 that dropped to 6, replaced by double pivot systems.",analysis,
"Counter-attacking teams outperform their xG in the first leg of two-legged European ties by approximately 0.3 goals on average — the structured defensive approach suits teams built to absorb pressure, even if the second leg becomes more open.",analysis,
What made Kante unique wasn't his tackling — it was his ball recovery rate in zones 13 and 14 (central areas just outside the box) where his numbers were 3x the league average. That zone is where counter-attacks are killed or allowed to develop.,analysis,
The reason Man United have struggled under multiple managers post-Ferguson is structural: the recruitment process changed from manager-led to committee-led in 2013 and research shows misaligned recruitment authority correlates with trophy droughts.,analysis,Makes a strong claim but backs it with a specific structural change and cites research pattern. analysis — evidence is necessary to the argument not decorative.
"Vinicius Jr.'s dribble success rate (68%) is higher than any wide forward in Europe's top 5 leagues with more than 6 dribble attempts per 90 — he's not just attempting dribbles in easy spots, he's succeeding in contested 1v1s at an elite rate.",analysis,
"Tactical periodization argues that physical, technical, tactical and psychological training should never be separated. Every drill must replicate a game situation — which is why Klopp never did isolated fitness runs.",analysis,
"The reason English teams struggle in Europe compared to Spanish ones isn't quality — it's schedule density. PL teams play 4.2 more competitive matches per season on average, and peak power drops 8-12% with that volume difference.",analysis,
Modric's longevity at elite level (playing UCL at 38) comes down to position type — central midfielders who rely on positioning and passing accuracy rather than explosive pace show much shallower decline curves after 32.,analysis,
The handball rule change in 2020 increased penalty awards by 34% in the first season across the top 5 European leagues — a massive unintended consequence of trying to bring objectivity to a subjective call.,analysis,
Set pieces now account for roughly 30% of goals in elite football — up from 22% a decade ago. Teams like Brighton have invested specifically in set piece coaching staff and the tactical arms race around corners has intensified.,analysis,
The pressing trap — where you invite a press and play through it to create 2v1s in wide areas — was first systematically used by Guardiola at Bayern in 2014 and is now in almost every elite team's playbook.,analysis,
"Manchester City's squad depth dominance comes from their contract structure — they routinely sign young talent on long contracts with options, giving them asset control even if the player doesn't make the first team.",analysis,
"Brazil's 7-1 loss to Germany wasn't random — in the 5 games before it their press intensity was the lowest of the tournament and their defensive line was 6 yards higher than any remaining team, making them structurally vulnerable to exactly what Germany used.",analysis,
The real reason Simeone's Atletico model works is salary structure — they consistently sign players on performance-based contracts which aligns individual incentive with collective performance in a way most clubs can't replicate.,analysis,
Ederson averaged 47.4 passes per 90 last season — making keeper ball-playing ability now arguably the most underrated quality in squad building at elite level.,analysis,
"The introduction of ABBA format in shootouts reduced the psychological advantage of going first — research showed the team going first won 60% of traditional shootouts vs 52% under ABBA, making the format meaningfully fairer.",analysis,
Guardiola's inverted fullback system at City created a permanent 3v2 in central midfield during buildup — the fullbacks moving inside gave the pivot natural passing angles that conventional wide fullbacks couldn't provide.,analysis,
The gap between Premier League revenue and the rest of Europe is creating structural inequality — PL clubs had average revenues 2.4x higher than Bundesliga clubs in 2023 and that gap is accelerating.,analysis,
Pochettino's teams consistently overperform xGA in the first half and underperform in the second — his tactical setups restrict early chances well but his in-game adjustments have repeatedly cost him late in matches.,analysis,
The rise of the half-space traces directly to Guardiola's Bayern — before 2013 fewer than 15% of top 5 league teams had designated players in zones 4 and 6 in transition; by 2020 that was over 60%.,analysis,
The reason Tottenham struggle to win trophies despite top 6 finishes is structural: their shot locations average 19 yards vs the PL average of 16 yards for top 6 teams. Volume of chances but poor shot quality.,analysis,
"Messi's 2021 Ballon d'Or was earned primarily through Copa America performances — his xG+xA per 90 in that tournament was 1.14, which is historically elite even by his own standards.",analysis,Could read as hot_take defending Messi but the xG+xA figure is specific and verifiable and the argument depends on it. analysis decision rule: remove the stat and the claim collapses.
"Nigeria, Ghana, Ivory Coast and Senegal consistently produce elite players but underperform at tournaments for the same structural reason — a 10-14 day preparation window vs the 4+ weeks European nations get.",analysis,
Dortmund's business model targets players aged 17-21 on 5-year contracts specifically targeting the development phase before peak market value and have returned over 400% on transfer investment since 2015.,analysis,
The introduction of five substitutes permanently changed end-of-game dynamics — teams with deeper squads now show a measurably larger xG swing in the final 20 minutes than they did under three-sub rules.,analysis,
"Pedri's injury history follows a classic overload pattern — Spain's senior team and Barcelona combined for 75+ appearances in his first full season, well above the threshold for soft tissue risk in U21 midfielders.",analysis,
"Son Heung-min's goal conversion from inside the box is 22%, placing him in the 95th percentile for Premier League forwards over the last five seasons — his positioning inside the area is genuinely elite.",analysis,
"The reason high-pressing teams struggle in their second season is opposition adaptation — teams have a full offseason to watch film and identify trigger points, which is why the press success rate typically drops 12-18% year two without tactical evolution.",analysis,
"Looking at Champions League knockout stage results from 2015 to 2024, teams that dominated possession in leg one but lost won the tie 61% of the time — possession dominance in the first leg is a poor predictor of aggregate outcome.",analysis,
Thiago Silva's defensive reading was so advanced that his sprint distance per 90 was the lowest of any starting centre-back in the PL last season — he positioned himself so well he rarely needed to recover.,analysis,
The reason free kick specialists have declined is the wall jump rule change combined with the low block — teams now pack 10 men behind the ball on set pieces reducing the available shooting angles that made Juninho-style direct free kicks viable.,analysis,